PUNTS_REQUERITS;231
Data;Caminada;Km;Desnivell;Punts
03/03/2024;24a Marxa dels Castells de la Segarra;54,0;1200;14
03/03/2024;12a Travessa Rubí-Montserrat. Memorial Pau Sanchez Rico;46,0;4200;19
10/03/2024;9a Marxa del Setge de Cardona;52,0;4600;21
17/03/2024;9a Molins Vilafranca;45,6;3089;17
06/04/2024;13a Almogàver;56,9;4638;22
13/04/2024;14a Caminada de Carenes - Marxa el Pont de Suert a Tremp;50,0;5262;21
14/04/2024;16a Cinc Cims;53,0;4564;21
28/04/2024;21a Caminada Riudoms_la Mola_Riudoms;56,8;3422;19
05/05/2024;20a Marxa de Resistència 7 Cims;53,8;4370;20
11/05/2024;35a Marxa Gràcia - Montserrat;62,6;4668;24
12/05/2024;8a Mèdium - Marxa La Romànica;57,0;4180;21
25/05/2024;13a Sants - Cornellà Montserrat Curta;52,0;3750;20
25/05/2024;13a Sants - Cornellà Montserrat Llarga;64,0;3850;22
26/05/2024;48a Travessa del Montseny;48,0;5000;20
02/06/2024;27a Caminada Reus-Prades-Reus;54,8;2950;17
06/07/2024;17a Transfronterera Cap de Rec;49,0;5020;21
14/09/2024;45a Travessa Matagalls - Montserrat;83,4;5773;30
21/09/2024;2a TransMontserrat;47,0;4778;20
28/09/2024;22a Trenkakames;55,0;3400;18
05/10/2024;32a Marxa Rasos Manresa;78,5;3989;25
13/10/2024;10a Marxa de Resistència La Llopa per Calella i el Montnegre;54,0;4520;21
19/10/2024;30a La Marxassa;66,0;4032;23
26/10/2024;9a Marxa de Resistència la Mola-Santa;51,0;3219;18
10/11/2024;29a Marxa del Garraf;46,0;3300;17

